Stadtteil,Baumdichte,Miete,Einwohner über 65,Übergewichtige Kinder,Kinder pro Kita,Kitaplätze,Familien mit Kindern,Durchschnittsalter,Waldflächen,Erholungsflächen,Wasserflächen,Verkehrsflächen,Ärzte,Sozialleistungen
Altstadt,1260.78431372549,16.44,0.472091085809497,NA,NA,NA,10.4,43.4,0,14.1176470588235,6.37254901960784,32.4509803921569,94,138
Innenstadt,2048.02631578947,14.88,0.228923271234607,NA,62.6,102.305020524155,8.1,41.6,NA,NA,NA,NA,182,176
Bahnhofsviertel,764.150943396226,17.53,0.211742059672762,NA,53.25,69.2974013474495,7.3,37.5,0,5.51330798479087,6.27376425855513,26.0456273764259,77,198
Westend-Süd,788.663967611336,15.83,0.0890138205668775,4.04040404040404,56.6666666666667,124.150855001171,13.9,40.7,0,1.69421487603306,0,23.5537190082645,76,27
Westend-Nord,2028.14371257485,16.1,0.166244632830563,NA,60.4285714285714,44.3686006825939,17,40,0,21.5182307232516,0,21.0400478182905,46,81
Nordend-West,680.456026058632,14.59,0.051305640082089,5.91715976331361,35.0277777777778,46.0689264737103,13.2,41.2,0,3.90752197981114,0.0651253663301856,20.709866492999,55,43
Nordend-Ost,1576.47058823529,14.76,0.0484061393152302,11.1764705882353,38.8285714285714,53.9944903581267,13,40.7,0,10.077059869591,0.0592768227622999,25.7854179016005,37,82
Ostend,832.037037037037,14.64,0.0617935192162773,8.9041095890411,52.7083333333333,47.852298417483,12.5,42.5,4.33701228042904,7.30607803513135,8.73620394839111,26.7371366392041,29,115
Bornheim,707.142857142857,14.1,0.0697184447423865,8.71794871794872,45.875,41.8310668454319,13.8,43.2,0,16.045197740113,0,26.8549905838041,43,119
Gutleutviertel,626.818181818182,14.8,0.250336021505376,NA,47.3333333333333,26.2096774193548,10.1,41.1,NA,NA,NA,NA,12,152
Gallus,592.417061611374,13.79,0.0408308183916208,15.3409090909091,67.4545454545455,54.4292561690041,14.9,38.6,0.473099350863681,12.4656177797337,3.91682253273187,34.767301133238,15,200
Bockenheim,1155.47263681592,13.98,0.0329710246165023,10.9311740890688,43.695652173913,58.4816563748638,13.8,38.9,3.26809453471196,12.629246676514,0.0738552437223043,23.8552437223043,29,91
Sachsenhausen-N.,946.22641509434,15.53,0.0476686025042801,9.50226244343891,42.8571428571429,62.6741414616133,15,40.6,NA,NA,NA,NA,48,88
Sachsenhausen-S.,101.088513319966,13.83,0.0853176142092608,7.18562874251497,63.2222222222222,44.4427208562786,14.6,44.7,47.9941167520414,3.0312251694815,0.681307163023448,33.3941945191121,14,65
Oberrad,367.518248175182,12.15,0.144096807579014,16.8316831683168,50.3333333333333,35.7455616591036,16.8,42.8,0.438116100766703,3.57794815626141,2.33661920408908,14.6403797006207,11,156
Niederrad,701.706484641638,16.87,0.0736738703339882,14.1104294478528,63,44.8294338274692,14.6,41.7,0,14.9982917663136,6.55961735565425,18.3122651178681,13,117
Schwanheim,355.160744500846,11.33,0.09765625,15.8878504672897,53.5454545454545,60.15625,22.3,42.4,31.0797857344235,9.16831124894277,5.37919368480406,10.6738088525515,4,148
Griesheim,602.040816326531,10.96,0.0575160006919218,13.9175257731959,66.7333333333333,44.8451824943781,18,40,1.69318645450836,12.8518971848225,5.07955936352509,20.093839249286,7,166
Rödelheim,591.26213592233,11.83,0.101021966404323,14.4736842105263,49.9,60.0258428286151,16.3,41.8,0.0582637405321422,12.5849679549427,2.34997086812973,24.8397747135366,9,149
Hausen,947.619047619048,12.51,0.238427216954824,NA,50.7142857142857,50.4740658114891,18.2,40.8,0.398089171974522,13.7738853503185,2.54777070063694,20.6210191082803,8,139
Praunheim,961.318681318681,10.83,0.129936305732484,13.1782945736434,63.8888888888889,36.6242038216561,20.4,43.2,0.0659050966608084,9.22671353251318,3.20738137082601,12.7636203866432,11,129
Heddernheim,1520.48192771084,13.5,0.110467546426226,18.0555555555556,53.85,65.086284110587,21.7,42.1,0.120578778135048,11.0128617363344,2.81350482315113,24.5578778135048,25,144
Niederursel,508.448753462604,11.57,0.138584974471189,21.3235294117647,55.875,62.727935813275,22,42.9,1.55210643015521,4.91962305986696,0.76219512195122,13.2344789356984,9,147
Ginnheim,802.197802197802,13.48,0.10033035605041,15.0943396226415,46.5555555555556,50.2263550715771,23.1,40.4,2.07982012366498,17.1163575042159,1.37717818999438,19.7863968521641,8,146
Dornbusch,1129.41176470588,12.43,0.121793792445417,11.3095238095238,52.1363636363636,63.0858169164281,16.2,44,0,15.1828298887122,0.0264970853206147,19.4753577106518,27,76
Eschersheim,378.443113772455,12.36,0.129337320075099,NA,64.6,45.4071344134622,17.5,42.4,0.209643605870021,12.3989218328841,2.06648697214735,17.5202156334232,32,83
Eckenheim,781.614349775785,11.83,0.126582278481013,NA,57.3,41.3881382449154,18.4,41.9,NA,NA,NA,NA,6,179
Preungesheim,482.352941176471,11.96,0.097602985503086,13.6645962732919,73.0769230769231,66.8149849289508,27,38.7,0.0802139037433155,7.67379679144385,0.133689839572192,21.3903743315508,9,138
Bonames,885.483870967742,10.95,0.312754520280176,18.3333333333333,65.4285714285714,76.7225932562307,20.8,43.1,0.648011782032401,6.65684830633284,3.00441826215022,17.2312223858616,10,176
Berkersheim,192.138364779874,9.8,0.414493549272578,NA,51.3333333333333,41.9983530057645,30,38.9,0.0629128656810318,1.44699591066373,0.975149418055993,13.9351997483485,3,134
Riederwald,2390.38461538462,NA,0.388078902229846,NA,37.5,48.0274442538593,17.7,42.6,NA,NA,NA,NA,9,236
Seckbach,576.741293532338,12.49,0.219360032199638,NA,55.625,46.9913463473536,19,44.4,0.186543962193757,8.53127720432782,0.0870538490237533,10.5210794677279,6,120
Fechenheim,495.821727019499,10.3,0.0961478036825237,16.7567567567568,57.1428571428571,51.4045120341859,22.6,39.7,14.3613316617913,5.76681989134977,6.63044992338766,13.5812787296281,10,250
Höchst,461.310782241015,11.2,0.068585165806406,17.8571428571429,64,67.3124513893799,21.9,37,0,8.89311364596536,3.06294888043937,14.3008027038445,57,204
Nied,885.078534031414,11.54,0.0901935060675631,12.5748502994012,58.6,47.7752268503334,20.6,41.1,13.7542572701074,6.62824207492795,7.15221378045586,18.9153785695572,6,174
Sindlingen,314.824120603015,11.29,0.200427879743272,16.0493827160494,61.625,54.3857673685396,20.6,41.4,0.56299747621821,5.55231993787614,4.98932246165793,12.7742185983304,8,168
Zeilsheim,336.197440585009,10.83,0.164333025907605,18.8811188811189,72.1666666666667,35.8849668818647,23.3,42,0,4.675505931612,0.558269364968597,12.0027913468248,8,164
Unterliederbach,273.846153846154,11.2,0.111575056472038,21.2121212121212,57.6153846153846,50.4483537545349,21.8,40.6,0,4.81804202972835,0.461301896463352,13.7878011276269,7,151
Sossenheim,379.061976549414,10.27,0.109493836873853,16.3398692810458,65.5833333333333,52.9766587988461,22.6,40.7,0.0167532249958117,5.56207069860948,1.64181604958955,16.4684201708829,9,216
Nieder-Erlenbach,103.597122302158,10.08,0.40104620749782,NA,64.25,56.8875326939843,24.7,42.5,2.66314779270633,1.28358925143954,0.491842610364683,5.45825335892514,11,32
Kalbach-Riedberg,696.086956521739,13.24,0.0773774856477244,NA,84.4444444444444,62.9836092852983,35.4,35.9,0.0144843568945539,7.22769409038239,1.1297798377752,22.5376593279258,4,34
Harheim,197.609561752988,9.38,0.436802973977695,NA,60.2,73.6524163568773,24.3,42.4,0.896057347670251,2.32974910394265,2.76782158502589,7.58661887694146,9,35
Nieder-Eschbach,292.44094488189,11.32,0.167386133380319,10.3092783505155,71.6666666666667,37.7940269579773,21.4,42.5,1.90521177767281,5.71563533301842,0.991969768540387,12.7381514722091,12,151
Bergen-Enkheim,319.776714513557,11.12,0.118430792005922,9.375,58.7857142857143,47.2584410408245,19.6,44.3,10.5414241288573,2.38417988996093,0.613986125508333,9.60848417191612,17,64
Frankfurter Berg,691.666666666667,10.52,0.165202569817753,NA,54,65.163235872558,29.9,39,NA,NA,NA,NA,3,150
